Date,Category,Subcategory,Location,Value
22/02/2016,Plumber,Toilet And Sanitary Work,Location 2, 380.32 
15/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 408.87 
12/02/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 86.51 
11/03/2016,Lawn and Garden,Gardening,Location 10, 793.00 
27/06/2016,Electronics,Mobile,Location 2, 770.52 
20/04/2016,Painter,Texture Painting,Location 8, 555.43 
17/02/2016,Pest Control,Mosquito Control,Location 4, 887.97 
11/05/2016,Plumber,Choke Up,Location 1, 945.98 
23/02/2016,Appliances,Microwave Oven Repair,Location 8, 853.92 
07/04/2016,Carpenter,Furniture Repair/replacement,Location 2, 876.98 
14/06/2016,Electrician,Fans,Location 7, 252.23 
18/03/2016,Flooring,Stone & Tile Restoration,Location 1, 442.44 
18/02/2016,Carpenter,Furniture Installation and assembly,Location 5, 458.70 
28/05/2016,Electronics,Computer,Location 8, 161.26 
30/06/2016,Carpenter,Bolt And Latch,Location 6, 880.45 
18/03/2016,Electronics,Computer,Location 1, 508.75 
16/02/2016,Plumber,"Tap, Wash basin and Sink",Location 4, 44.26 
02/02/2016,Plumber,Pipelines And Pumps,Location 9, 557.92 
05/04/2016,Electronics,TV,Location 10, 140.21 
15/03/2016,Security,Security Guard,Location 1, 242.71 
19/04/2016,Carpenter,General Carpentry Work,Location 7, 916.72 
13/05/2016,Painter,Texture Painting,Location 9, 480.08 
29/06/2016,Plumber,Bathroom Fittings,Location 5, 795.77 
12/04/2016,Carpenter,General Carpentry Work,Location 3, 183.95 
05/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 136.69 
16/02/2016,Plumber,Leakage,Location 5, 802.13 
10/04/2016,Appliances,Refrigerator Repair,Location 3, 109.98 
03/03/2016,Plumber,Choke Up,Location 5, 482.72 
17/02/2016,Electronics,TV,Location 6, 341.31 
19/04/2016,Pest Control,Termite Control,Location 9, 191.93 
26/02/2016,Plumber,Choke Up,Location 6, 303.26 
28/03/2016,Carpenter,Furniture Repair/replacement,Location 9, 873.57 
17/03/2016,Pest Control,Honey Bee Control,Location 3, 727.41 
05/05/2016,Carpenter,Furniture Repair/replacement,Location 6, 503.49 
04/07/2016,Electronics,Mobile,Location 10, 633.11 
08/05/2016,Pest Control,Rat Control,Location 1, 536.90 
23/03/2016,Appliances,Microwave Oven Repair,Location 9, 478.13 
01/06/2016,Caterer/Cook,Catering,Location 9, 390.76 
20/06/2016,Testing,Air Test,Location 2, 721.68 
11/06/2016,Plumber,Bathroom Fittings,Location 7, 791.42 
19/04/2016,Painter,Texture Painting,Location 2, 53.69 
14/02/2016,Appliances,Cooler,Location 2, 112.59 
16/06/2016,Carpenter,General Carpentry Work,Location 4, 300.51 
07/03/2016,Electronics,Computer,Location 4, 19.06 
27/03/2016,Electrician,Other Lights,Location 9, 483.27 
06/04/2016,Plumber,Bathroom Fittings,Location 3, 743.99 
10/04/2016,Electrician,"Switches, Meters and Fuses",Location 6, 152.90 
27/04/2016,Appliances,Water Purifier,Location 1, 809.05 
12/06/2016,Painter,Texture Painting,Location 8, 399.90 
30/04/2016,Support Staff,Office,Location 3, 46.81 
06/04/2016,Pest Control,Ant Control,Location 10, 95.14 
07/06/2016,Plumber,Choke Up,Location 7, 769.60 
02/06/2016,Electronics,Computer,Location 3, 603.55 
12/02/2016,Plumber,Bathroom Fittings,Location 5, 474.35 
08/06/2016,Plumber,Pipelines And Pumps,Location 8, 450.46 
25/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 2, 308.08 
11/05/2016,Electrician,Tube Lights,Location 7, 838.96 
04/04/2016,Carpenter,Bolt And Latch,Location 2, 673.55 
06/02/2016,Plumber,Leakage,Location 7, 933.61 
13/06/2016,Electronics,Printer,Location 2, 990.97 
02/04/2016,Electronics,Computer,Location 7, 708.25 
25/05/2016,Plumber,Choke Up,Location 9, 391.10 
21/05/2016,Plumber,Toilet And Sanitary Work,Location 2, 398.52 
10/04/2016,Electronics,Computer,Location 10, 446.18 
27/04/2016,"Fire, Life, and Safety",Fire Extinguishers,Location 7, 674.54 
15/03/2016,Plumber,Toilet And Sanitary Work,Location 8, 387.01 
01/03/2016,Pest Control,Bed Bug Control,Location 1, 554.18 
20/06/2016,Cleaning,Office,Location 1, 184.23 
17/02/2016,Painter,Texture Painting,Location 10, 673.87 
20/04/2016,Pest Control,Honey Bee Control,Location 4, 424.86 
22/04/2016,Pest Control,Ant Control,Location 7, 641.97 
12/03/2016,Painter,Texture Painting,Location 1, 998.33 
21/05/2016,Painter,Regular Painting,Location 1, 976.56 
20/02/2016,Appliances,Refrigerator Repair,Location 10, 687.56 
26/04/2016,Electronics,Computer,Location 10, 755.70 
27/02/2016,Carpenter,Furniture Repair/replacement,Location 3, 5.31 
25/02/2016,Electronics,Computer,Location 6, 910.80 
30/01/2016,Painter,Regular Painting,Location 2, 608.67 
12/03/2016,Appliances,Microwave Oven Repair,Location 1, 203.31 
07/07/2016,Painter,Regular Painting,Location 2, 864.72 
03/03/2016,Transportation,Mini Tempo,Location 5, 953.19 
02/02/2016,Carpenter,Furniture Repair/replacement,Location 4, 609.49 
29/05/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 458.81 
05/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 3, 100.12 
01/04/2016,Carpenter,Furniture Repair/replacement,Location 3, 852.46 
11/05/2016,Plumber,Choke Up,Location 10, 342.86 
25/03/2016,Appliances,Coffee Machines,Location 9, 41.66 
14/06/2016,Plumber,Choke Up,Location 3, 295.34 
11/05/2016,Electrician,Fancy Lights,Location 9, 789.17 
06/03/2016,"Fire, Life, and Safety",Fire Alarm System,Location 4, 134.85 
20/06/2016,Plumber,Water Tank,Location 4, 381.13 
08/04/2016,Plumber,Choke Up,Location 5, 936.76 
01/07/2016,Appliances,Cooler,Location 1, 157.90 
19/06/2016,Electronics,TV,Location 2, 523.62 
27/04/2016,Cleaning,Furniture and Furnishings,Location 10, 743.45 
19/03/2016,Painter,Texture Painting,Location 1, 223.55 
31/01/2016,Electronics,Computer,Location 2, 315.93 
06/03/2016,Waste Management,Recycle,Location 8, 746.75 
17/03/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 73.76 
12/05/2016,Plumber,Toilet And Sanitary Work,Location 10, 578.98 
18/05/2016,Carpenter,Bolt And Latch,Location 3, 903.07 
23/03/2016,Carpenter,Furniture Repair/replacement,Location 5, 860.20 
07/04/2016,Painter,Regular Painting,Location 5, 618.21 
15/05/2016,Plumber,Leakage,Location 2, 984.47 
21/06/2016,Plumber,Bathroom Fittings,Location 4, 862.37 
25/01/2016,Electrician,Fans,Location 3, 674.70 
07/04/2016,Plumber,Bathroom Fittings,Location 3, 631.55 
18/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 5, 976.87 
07/02/2016,Plumber,Choke Up,Location 9, 618.76 
27/05/2016,Plumber,Toilet And Sanitary Work,Location 10, 419.73 
26/03/2016,Plumber,Leakage,Location 9, 938.62 
17/03/2016,Records Management,Document Management,Location 2, 39.27 
01/06/2016,Carpenter,Furniture Repair/replacement,Location 8, 892.32 
27/01/2016,Plumber,Pipelines And Pumps,Location 2, 333.95 
19/05/2016,Plumber,Toilet And Sanitary Work,Location 8, 536.37 
14/04/2016,Carpenter,Furniture Repair/replacement,Location 5, 203.04 
13/06/2016,Electrician,Fans,Location 7, 306.43 
31/03/2016,Carpenter,Bolt And Latch,Location 2, 718.55 
21/04/2016,Pest Control,Bed Bug Control,Location 8, 502.87 
12/06/2016,Carpenter,General Carpentry Work,Location 5, 923.16 
18/03/2016,Carpenter,Furniture Repair/replacement,Location 7, 95.45 
18/02/2016,Appliances,Refrigerator Repair,Location 10, 935.04 
09/05/2016,Pest Control,Rat Control,Location 8, 664.87 
20/04/2016,Pest Control,Cockroach Control,Location 6, 857.28 
01/03/2016,Electronics,TV,Location 9, 87.02 
29/04/2016,Electronics,Computer,Location 10, 931.83 
19/02/2016,Electronics,Computer,Location 3, 23.73 
14/03/2016,Electronics,Mobile,Location 6, 113.47 
04/07/2016,Appliances,Refrigerator Repair,Location 8, 849.46 
16/02/2016,Plumber,Pipelines And Pumps,Location 6, 164.85 
04/05/2016,Plumber,Bathroom Fittings,Location 3, 312.19 
04/02/2016,Electronics,TV,Location 2, 502.19 
15/04/2016,Electronics,TV,Location 7, 67.72 
01/06/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 796.33 
02/02/2016,Plumber,Toilet And Sanitary Work,Location 3, 475.88 
28/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 2, 14.62 
22/05/2016,Painter,Texture Painting,Location 4, 923.65 
28/03/2016,Carpenter,Furniture Installation and assembly,Location 1, 463.91 
02/02/2016,Plumber,Choke Up,Location 5, 1.12 
07/07/2016,Appliances,Water Coolers,Location 3, 802.89 
17/06/2016,Plumber,Choke Up,Location 2, 249.00 
28/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 8, 115.34 
15/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 9, 808.91 
30/01/2016,Electrician,"Switches, Meters and Fuses",Location 10, 918.62 
16/04/2016,Electronics,Computer,Location 9, 558.39 
04/06/2016,Appliances,Refrigerator Repair,Location 8, 906.52 
24/02/2016,Carpenter,General Carpentry Work,Location 7, 330.63 
04/04/2016,Security Systems,Access Control,Location 1, 652.38 
17/04/2016,Electrician,Fancy Lights,Location 3, 509.57 
21/06/2016,Flooring,Stone & Tile Restoration,Location 2, 649.19 
19/02/2016,Plumber,Bathroom Fittings,Location 5, 971.58 
24/02/2016,Carpenter,General Carpentry Work,Location 1, 252.13 
13/06/2016,Electrician,Fans,Location 9, 106.69 
09/03/2016,Carpenter,Furniture Repair/replacement,Location 6, 317.69 
04/03/2016,Records Management,Digital Imaging,Location 7, 835.97 
23/05/2016,Electronics,Computer,Location 5, 640.48 
20/05/2016,Appliances,Microwave Oven Repair,Location 6, 419.57 
04/07/2016,Testing,Water Test,Location 5, 27.09 
04/05/2016,Plumber,Bathroom Fittings,Location 8, 349.54 
06/07/2016,Electrician,"Switches, Meters and Fuses",Location 8, 805.68 
13/04/2016,Electronics,TV,Location 1, 870.49 
24/05/2016,Plumber,Bathroom Fittings,Location 10, 388.98 
25/06/2016,Plumber,Choke Up,Location 7, 84.15 
11/02/2016,Electronics,Mobile,Location 2, 260.92 
09/03/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 933.25 
24/01/2016,Appliances,Refrigerator Repair,Location 2, 283.43 
22/06/2016,Electrician,Other Lights,Location 4, 734.85 
05/04/2016,Electrician,Tube Lights,Location 4, 150.84 
07/05/2016,Plumber,Bathroom Fittings,Location 10, 384.02 
11/06/2016,Carpenter,Bolt And Latch,Location 9, 960.95 
13/02/2016,Appliances,Water Purifier,Location 5, 778.55 
17/06/2016,Electrician,Tube Lights,Location 8, 376.15 
29/03/2016,Painter,Regular Painting,Location 7, 327.00 
03/03/2016,Carpenter,General Carpentry Work,Location 2, 813.14 
14/05/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 804.40 
21/02/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 948.93 
19/06/2016,Electrician,"Switches, Meters and Fuses",Location 3, 25.51 
29/04/2016,Electrician,Light Sockets/Holders,Location 1, 933.71 
06/02/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 656.32 
26/06/2016,Electrician,Light Sockets/Holders,Location 6, 963.64 
28/05/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 841.15 
02/05/2016,Plumber,Leakage,Location 2, 298.01 
17/04/2016,Lawn and Garden,Landscaping,Location 3, 589.25 
01/03/2016,Electronics,Computer,Location 2, 469.57 
26/06/2016,Electrician,Fans,Location 9, 528.77 
26/03/2016,Appliances,Water Purifier,Location 6, 964.74 
19/03/2016,Carpenter,Bolt And Latch,Location 4, 324.51 
11/05/2016,Electrician,"Switches, Meters and Fuses",Location 8, 243.76 
03/02/2016,Carpenter,Furniture Repair/replacement,Location 7, 639.00 
03/02/2016,Appliances,Refrigerator Repair,Location 9, 537.03 
19/04/2016,Carpenter,Bolt And Latch,Location 4, 681.00 
31/01/2016,Painter,Texture Painting,Location 5, 219.33 
13/02/2016,Plumber,Choke Up,Location 2, 362.27 
25/06/2016,Plumber,Toilet And Sanitary Work,Location 8, 569.80 
20/02/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 368.11 
25/05/2016,Security,Security Guard,Location 9, 669.86 
13/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 10, 189.45 
09/04/2016,Electrician,Other,Location 2, 715.24 
02/03/2016,Carpenter,Bolt And Latch,Location 4, 488.35 
29/01/2016,Painter,Texture Painting,Location 1, 754.26 
30/04/2016,Security,Security Guard,Location 10, 728.09 
16/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 8, 1.65 
03/07/2016,Waste Management,Recycle,Location 10, 501.94 
16/06/2016,Electronics,Mobile,Location 4, 216.08 
19/02/2016,Plumber,Toilet And Sanitary Work,Location 2, 824.68 
30/06/2016,Appliances,Refrigerator Repair,Location 3, 685.65 
06/02/2016,Electrician,Other Lights,Location 6, 307.17 
24/02/2016,Carpenter,General Carpentry Work,Location 1, 456.54 
26/02/2016,Pest Control,Cockroach Control,Location 3, 403.57 
01/02/2016,Plumber,Toilet And Sanitary Work,Location 7, 948.34 
11/04/2016,Electronics,Computer,Location 3, 226.00 
07/05/2016,Testing,Food Test,Location 5, 560.42 
31/03/2016,Pest Control,Cockroach Control,Location 9, 949.80 
24/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 1, 203.88 
10/05/2016,Pest Control,Termite Control,Location 6, 10.78 
03/07/2016,Plumber,Choke Up,Location 7, 966.62 
06/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 9, 110.70 
06/06/2016,Carpenter,Furniture Repair/replacement,Location 8, 297.85 
31/05/2016,Carpenter,General Carpentry Work,Location 4, 160.60 
24/04/2016,Pest Control,Bed Bug Control,Location 8, 730.48 
19/02/2016,Carpenter,General Carpentry Work,Location 10, 473.00 
11/06/2016,Carpenter,Furniture Repair/replacement,Location 4, 726.92 
18/03/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 920.53 
28/03/2016,Plumber,Leakage,Location 3, 445.36 
13/05/2016,Carpenter,Furniture Repair/replacement,Location 2, 515.05 
16/04/2016,Plumber,Pipelines And Pumps,Location 3, 195.56 
30/05/2016,Pest Control,Mosquito Control,Location 1, 307.56 
08/02/2016,Electrician,"Switches, Meters and Fuses",Location 6, 188.18 
03/03/2016,Carpenter,Bolt And Latch,Location 6, 714.36 
06/03/2016,Lawn and Garden,Gardening,Location 5, 516.38 
09/05/2016,Appliances,Water Purifier,Location 8, 135.15 
14/06/2016,Plumber,Toilet And Sanitary Work,Location 4, 845.46 
03/06/2016,Carpenter,Bolt And Latch,Location 4, 887.36 
18/03/2016,Carpenter,Bolt And Latch,Location 9, 144.65 
26/06/2016,Pest Control,Rat Control,Location 9, 725.32 
15/02/2016,Carpenter,Furniture Repair/replacement,Location 5, 692.69 
08/06/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 323.94 
20/02/2016,Appliances,Water Purifier,Location 8, 894.21 
19/06/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 560.60 
07/04/2016,Security Systems,Access Control,Location 6, 134.99 
16/02/2016,Painter,Texture Painting,Location 8, 75.02 
23/04/2016,Industrial,Elevator,Location 9, 649.38 
04/03/2016,Electrician,Other Lights,Location 10, 873.73 
02/02/2016,Electrician,"Switches, Meters and Fuses",Location 1, 217.33 
17/02/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 120.09 
07/05/2016,Testing,Air Test,Location 7, 746.58 
26/05/2016,Plumber,Choke Up,Location 4, 141.37 
17/05/2016,Painter,Regular Painting,Location 1, 248.76 
06/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 6, 203.53 
25/02/2016,Carpenter,Furniture Repair/replacement,Location 6, 290.05 
18/06/2016,Carpenter,Furniture Installation and assembly,Location 6, 921.62 
22/02/2016,Electronics,Computer,Location 2, 951.44 
14/06/2016,Plumber,Leakage,Location 6, 672.61 
15/06/2016,Security Systems,CCTV,Location 8, 945.03 
18/03/2016,Appliances,Dishwasher,Location 10, 173.56 
07/06/2016,Electronics,Computer,Location 3, 923.35 
21/05/2016,Plumber,Leakage,Location 9, 594.23 
28/02/2016,Appliances,Microwave Oven Repair,Location 3, 828.20 
30/06/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 400.66 
04/03/2016,Plumber,Choke Up,Location 8, 114.44 
18/04/2016,Carpenter,Furniture Repair/replacement,Location 6, 414.16 
08/03/2016,Appliances,Refrigerator Repair,Location 7, 459.11 
10/02/2016,Lawn and Garden,Gardening,Location 9, 784.77 
10/02/2016,Appliances,Microwave Oven Repair,Location 4, 847.79 
24/06/2016,Transportation,Mini Tempo,Location 1, 883.44 
29/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 9, 742.88 
29/02/2016,Security,Security Guard,Location 9, 364.86 
25/06/2016,Electronics,Mobile,Location 8, 762.25 
13/03/2016,Records Management,Document Management,Location 10, 686.41 
08/02/2016,Carpenter,General Carpentry Work,Location 8, 775.47 
19/06/2016,Transportation,Car,Location 1, 50.89 
31/03/2016,Plumber,Water Tank,Location 8, 364.35 
30/06/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 120.93 
10/05/2016,Electrician,"Switches, Meters and Fuses",Location 8, 51.42 
09/03/2016,Electrician,Other Lights,Location 7, 78.17 
10/02/2016,Pest Control,Ant Control,Location 6, 694.72 
05/03/2016,Plumber,Leakage,Location 2, 919.74 
20/02/2016,Electronics,Printer,Location 4, 975.45 
21/03/2016,Cleaning,Furniture and Furnishings,Location 3, 878.17 
30/03/2016,Plumber,Choke Up,Location 2, 377.19 
30/01/2016,Appliances,Microwave Oven Repair,Location 8, 809.22 
05/07/2016,Painter,Texture Painting,Location 6, 519.72 
27/01/2016,Plumber,Bathroom Fittings,Location 4, 183.65 
26/01/2016,Electronics,Mobile,Location 2, 641.16 
23/05/2016,Carpenter,General Carpentry Work,Location 2, 175.12 
19/04/2016,Pest Control,Mosquito Control,Location 5, 769.92 
17/05/2016,Electronics,Mobile,Location 7, 743.19 
15/02/2016,Electrician,Tube Lights,Location 8, 563.07 
16/05/2016,Carpenter,General Carpentry Work,Location 4, 280.22 
02/05/2016,Carpenter,General Carpentry Work,Location 4, 301.84 
29/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 8, 821.00 
11/03/2016,Appliances,Microwave Oven Repair,Location 8, 253.41 
05/07/2016,Pest Control,Mosquito Control,Location 6, 862.95 
09/05/2016,Carpenter,Furniture Repair/replacement,Location 3, 683.72 
07/02/2016,Plumber,Leakage,Location 2, 116.65 
24/06/2016,Security,Security Guard,Location 9, 641.67 
17/04/2016,Carpenter,General Carpentry Work,Location 4, 517.67 
14/03/2016,Plumber,Bathroom Fittings,Location 1, 542.39 
10/03/2016,Painter,Texture Painting,Location 3, 814.97 
10/06/2016,Electronics,Mobile,Location 8, 566.41 
20/03/2016,Electronics,Computer,Location 5, 578.48 
09/06/2016,Electrician,"Switches, Meters and Fuses",Location 2, 127.94 
25/06/2016,Carpenter,Bolt And Latch,Location 3, 837.53 
27/04/2016,Plumber,Pipelines And Pumps,Location 6, 329.64 
10/06/2016,Carpenter,General Carpentry Work,Location 2, 348.08 
12/04/2016,Plumber,Bathroom Fittings,Location 1, 435.03 
10/02/2016,Plumber,Bathroom Fittings,Location 1, 26.46 
20/06/2016,Plumber,Bathroom Fittings,Location 2, 717.32 
05/02/2016,Carpenter,Bolt And Latch,Location 9, 408.18 
07/05/2016,Security Systems,CCTV,Location 8, 98.58 
05/03/2016,Pest Control,Rat Control,Location 2, 511.47 
03/07/2016,Plumber,Leakage,Location 9, 809.67 
02/05/2016,Plumber,Toilet And Sanitary Work,Location 9, 500.94 
14/04/2016,Painter,Texture Painting,Location 9, 136.72 
29/01/2016,Pest Control,Rat Control,Location 8, 709.88 
28/05/2016,Pest Control,Ant Control,Location 9, 757.58 
14/05/2016,Pest Control,Cockroach Control,Location 5, 797.03 
06/03/2016,Appliances,Refrigerator Repair,Location 1, 893.13 
05/07/2016,Pest Control,Rat Control,Location 6, 923.89 
19/03/2016,Electrician,"Switches, Meters and Fuses",Location 4, 179.89 
06/04/2016,Carpenter,General Carpentry Work,Location 8, 858.30 
22/04/2016,Painter,Texture Painting,Location 9, 329.49 
23/03/2016,Electrician,"Switches, Meters and Fuses",Location 8, 485.65 
11/05/2016,Electronics,Computer,Location 3, 377.66 
14/02/2016,Plumber,Choke Up,Location 3, 548.12 
27/04/2016,Plumber,Bathroom Fittings,Location 9, 892.59 
06/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 6, 296.12 
12/06/2016,Pest Control,Cockroach Control,Location 9, 773.22 
25/04/2016,Plumber,Choke Up,Location 4, 842.89 
31/03/2016,Flooring,Stone & Tile Restoration,Location 9, 659.61 
28/05/2016,Painter,Regular Painting,Location 10, 42.74 
03/07/2016,Cleaning,Furniture and Furnishings,Location 1, 715.41 
24/06/2016,Pest Control,Mosquito Control,Location 8, 557.22 
25/02/2016,Plumber,Choke Up,Location 7, 253.61 
30/05/2016,Plumber,Bathroom Fittings,Location 8, 375.38 
23/05/2016,Carpenter,Furniture Installation and assembly,Location 4, 411.51 
25/03/2016,Flooring,Stone & Tile Restoration,Location 10, 103.20 
10/06/2016,Carpenter,Furniture Installation and assembly,Location 1, 903.00 
12/02/2016,Security,Security Guard,Location 1, 916.84 
05/04/2016,Plumber,Choke Up,Location 2, 49.07 
03/05/2016,Painter,Regular Painting,Location 2, 198.31 
24/03/2016,Electronics,Computer,Location 8, 714.10 
12/02/2016,Water Supply,Mineral Water,Location 9, 453.08 
18/04/2016,Electronics,Computer,Location 4, 836.34 
24/04/2016,Plumber,Toilet And Sanitary Work,Location 7, 259.34 
14/05/2016,Electronics,Mobile,Location 10, 350.28 
06/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 2, 80.29 
04/04/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 319.39 
26/06/2016,Appliances,Cooler,Location 6, 721.37 
26/02/2016,Plumber,Toilet And Sanitary Work,Location 10, 759.11 
25/03/2016,Electrician,"Switches, Meters and Fuses",Location 1, 989.39 
08/02/2016,Carpenter,General Carpentry Work,Location 6, 863.98 
15/05/2016,Courier,Courier Services,Location 2, 796.96 
18/04/2016,Industrial,Elevator,Location 8, 394.99 
20/04/2016,Electronics,Projector,Location 5, 213.39 
03/02/2016,Electronics,Computer,Location 2, 307.48 
24/05/2016,Pest Control,Cockroach Control,Location 4, 124.06 
28/05/2016,Carpenter,Furniture Installation and assembly,Location 10, 772.74 
29/01/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 183.65 
01/07/2016,Electrician,Other Lights,Location 6, 11.00 
23/02/2016,Pest Control,Bed Bug Control,Location 7, 649.87 
13/03/2016,Plumber,Choke Up,Location 2, 19.19 
30/05/2016,Plumber,Choke Up,Location 4, 184.36 
22/05/2016,Pest Control,Ant Control,Location 5, 350.53 
23/03/2016,Plumber,Toilet And Sanitary Work,Location 8, 37.47 
07/03/2016,Plumber,Toilet And Sanitary Work,Location 7, 935.45 
20/05/2016,Electrician,"Switches, Meters and Fuses",Location 3, 75.25 
27/05/2016,Electronics,Mobile,Location 2, 928.29 
16/02/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 332.75 
07/07/2016,Pest Control,Cockroach Control,Location 1, 215.60 
30/06/2016,Electrician,Other Lights,Location 3, 477.25 
07/04/2016,Plumber,Leakage,Location 9, 738.78 
26/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 10, 595.67 
16/03/2016,Pest Control,Wood Borer Control,Location 1, 540.80 
01/04/2016,Pest Control,Rat Control,Location 3, 89.55 
29/02/2016,Pest Control,Ant Control,Location 4, 325.78 
01/07/2016,Plumber,Bathroom Fittings,Location 9, 315.87 
31/05/2016,Lawn and Garden,Landscaping,Location 1, 758.95 
30/04/2016,Carpenter,Furniture Repair/replacement,Location 8, 771.57 
19/05/2016,Plumber,Bathroom Fittings,Location 2, 568.18 
16/04/2016,Plumber,Pipelines And Pumps,Location 2, 650.25 
13/04/2016,Painter,Texture Painting,Location 9, 521.33 
04/06/2016,Plumber,Choke Up,Location 1, 879.24 
08/06/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 979.37 
09/04/2016,Appliances,Coffee Machines,Location 4, 163.78 
06/07/2016,Plumber,Water Tank,Location 10, 141.24 
01/06/2016,Painter,Texture Painting,Location 10, 136.64 
17/03/2016,Appliances,Water Purifier,Location 9, 115.14 
19/04/2016,Plumber,Leakage,Location 9, 672.53 
05/04/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 434.56 
24/03/2016,Painter,Regular Painting,Location 1, 347.91 
25/01/2016,Electrician,Other Lights,Location 4, 138.58 
16/06/2016,Appliances,Water Purifier,Location 8, 564.92 
02/07/2016,Security,Security Guard,Location 10, 679.07 
31/01/2016,Plumber,Toilet And Sanitary Work,Location 10, 913.20 
28/02/2016,Pest Control,Bed Bug Control,Location 8, 941.61 
24/06/2016,Electronics,Computer,Location 7, 548.65 
01/02/2016,Electronics,TV,Location 6, 685.73 
20/05/2016,Appliances,Refrigerator Repair,Location 5, 426.55 
12/03/2016,Electronics,Computer,Location 10, 813.02 
07/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 7, 998.82 
17/04/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 875.58 
23/03/2016,Plumber,Choke Up,Location 6, 418.79 
28/06/2016,Carpenter,Bolt And Latch,Location 2, 942.19 
17/04/2016,Carpenter,Furniture Repair/replacement,Location 10, 887.73 
01/03/2016,Carpenter,Furniture Repair/replacement,Location 10, 657.76 
06/03/2016,Appliances,Water Coolers,Location 5, 978.96 
19/06/2016,Carpenter,Bolt And Latch,Location 10, 488.06 
03/04/2016,Electronics,Mobile,Location 4, 341.53 
17/06/2016,Appliances,Refrigerator Repair,Location 3, 109.01 
08/05/2016,Plumber,Toilet And Sanitary Work,Location 9, 345.70 
05/04/2016,Plumber,Toilet And Sanitary Work,Location 8, 34.55 
11/06/2016,Plumber,Water Tank,Location 8, 219.21 
25/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 288.30 
08/03/2016,Plumber,Leakage,Location 1, 925.11 
12/03/2016,Plumber,Pipelines And Pumps,Location 3, 848.95 
01/02/2016,Cleaning,Office,Location 7, 234.75 
01/07/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 345.71 
24/02/2016,Appliances,Refrigerator Repair,Location 2, 738.33 
13/03/2016,Electrician,Thermography,Location 5, 997.43 
09/02/2016,Pest Control,Ant Control,Location 1, 603.14 
14/02/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 151.41 
18/05/2016,Carpenter,Bolt And Latch,Location 8, 34.05 
02/04/2016,Electrician,Fans,Location 2, 295.65 
06/07/2016,Plumber,Pipelines And Pumps,Location 2, 113.85 
04/03/2016,Electronics,Mobile,Location 1, 256.76 
28/06/2016,Painter,Texture Painting,Location 6, 570.41 
07/02/2016,Courier,Courier Services,Location 6, 906.12 
22/04/2016,Records Management,Secure Document Destruction,Location 3, 67.37 
02/02/2016,Plumber,"Tap, Wash basin and Sink",Location 8, 69.61 
25/02/2016,Plumber,Leakage,Location 5, 681.63 
12/04/2016,Electrician,"Switches, Meters and Fuses",Location 4, 862.86 
29/01/2016,Painter,Texture Painting,Location 9, 755.75 
05/02/2016,Carpenter,Bolt And Latch,Location 2, 576.64 
